seqname,source,feature,start,end,strand,GenBank_locus_tag,Product,gene_biotype,protein_id,name
NC_003317.1,RefSeq,gene,192,1217,+,BME_RS00005,uroporphyrinogen decarboxylase,protein_coding,WP_004684534.1,BME_RS00005
NC_003317.1,RefSeq,gene,1214,1750,+,BME_RS00010,protoporphyrinogen oxidase HemJ,protein_coding,WP_002967029.1,BME_RS00010
NC_003317.1,RefSeq,gene,2141,3397,+,BME_RS00020,transcription termination factor Rho,protein_coding,WP_038418004.1,BME_RS00020
NC_003317.1,RefSeq,pseudogene,3482,5411,-,BME_RS00025,hypothetical protein,pseudogene,NA,BME_RS00025
NC_003317.1,RefSeq,gene,5526,6854,+,BME_RS00030,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,protein_coding,WP_004684532.1,BME_RS00030
NC_003317.1,RefSeq,gene,7081,8991,+,BME_RS00035,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,protein_coding,WP_004684530.1,BME_RS00035
NC_003317.1,RefSeq,gene,8988,9629,+,BME_RS00040,ribosomal RNA small subunit methyltransferase G,protein_coding,WP_002967027.1,BME_RS00040
NC_003317.1,RefSeq,gene,9682,10479,+,BME_RS00045,ParA family protein,protein_coding,WP_002965123.1,BME_RS00045
NC_003317.1,RefSeq,gene,10523,11404,+,BME_RS00050,chromosome partitioning protein ParB,protein_coding,WP_004686728.1,BME_RS00050
NC_003317.1,RefSeq,gene,11498,12541,-,BME_RS00055,DNA polymerase III subunit delta,protein_coding,WP_004684528.1,BME_RS00055
NC_003317.1,RefSeq,gene,12703,13497,-,BME_RS00060,ABC transporter ATP-binding protein,protein_coding,WP_004684527.1,BME_RS00060
NC_003317.1,RefSeq,gene,13494,14378,-,BME_RS00065,ABC transporter permease,protein_coding,WP_002965119.1,BME_RS00065
NC_003317.1,RefSeq,gene,14558,14818,+,BME_RS15785,hypothetical protein,protein_coding,WP_002965118.1,BME_RS15785
NC_003317.1,RefSeq,gene,15022,15987,-,BME_RS00070,ABC transporter substrate-binding protein,protein_coding,WP_004684526.1,BME_RS00070
NC_003317.1,RefSeq,gene,16050,16259,+,BME_RS00075,hypothetical protein,protein_coding,WP_002965116.1,BME_RS00075
NC_003317.1,RefSeq,gene,16256,17278,+,BME_RS00080,flavin-dependent oxidoreductase,protein_coding,WP_002965115.1,BME_RS00080
NC_003317.1,RefSeq,gene,17312,18481,-,BME_RS00085,dihydrodipicolinate synthase family protein,protein_coding,WP_004684525.1,BME_RS00085
NC_003317.1,RefSeq,gene,18732,19790,+,BME_RS00090,LacI family DNA-binding transcriptional regulator,protein_coding,WP_004684524.1,BME_RS00090
NC_003317.1,RefSeq,gene,19769,20770,+,BME_RS00095,gfo/Idh/MocA family oxidoreductase,protein_coding,WP_004684523.1,BME_RS00095
NC_003317.1,RefSeq,gene,20776,22266,+,BME_RS00100,acyl CoA:acetate/3-ketoacid CoA transferase,protein_coding,WP_004684522.1,BME_RS00100
NC_003317.1,RefSeq,pseudogene,22268,23045,+,BME_RS00105,enoyl-CoA hydratase,pseudogene,NA,BME_RS00105
NC_003317.1,RefSeq,gene,23039,24559,+,BME_RS00110,sorbosone dehydrogenase,protein_coding,WP_002965108.1,BME_RS00110
NC_003317.1,RefSeq,gene,24572,26056,+,BME_RS00115,GMC family oxidoreductase,protein_coding,WP_004684520.1,BME_RS00115
NC_003317.1,RefSeq,gene,26053,26817,+,BME_RS00120,3-ketoacyl-ACP reductase,protein_coding,WP_004684519.1,BME_RS00120
NC_003317.1,RefSeq,pseudogene,26828,28109,+,BME_RS00125,choline dehydrogenase,pseudogene,NA,BME_RS00125
NC_003317.1,RefSeq,gene,28116,28463,+,BME_RS15790,sorbose dehydrogenase,protein_coding,WP_004686224.1,BME_RS15790
NC_003317.1,RefSeq,gene,28520,28915,-,BME_RS00130,DUF4354 domain-containing protein,protein_coding,WP_004684516.1,BME_RS00130
NC_003317.1,RefSeq,pseudogene,29014,29447,-,BME_RS00135,aldehyde-activating protein,pseudogene,NA,BME_RS00135
NC_003317.1,RefSeq,gene,29555,30319,+,BME_RS00140,NAD(P)-dependent oxidoreductase,protein_coding,WP_004684514.1,BME_RS00140
NC_003317.1,RefSeq,gene,30328,30404,-,BME_RS00145,tRNA-Arg,tRNA,NA,BME_RS00145
NC_003317.1,RefSeq,pseudogene,30518,31681,-,BME_RS00150,amidohydrolase,pseudogene,NA,BME_RS00150
NC_003317.1,RefSeq,gene,31976,33091,+,BME_RS00155,D-alanyl-D-alanine carboxypeptidase,protein_coding,WP_004684512.1,BME_RS00155
NC_003317.1,RefSeq,gene,33093,34259,+,BME_RS00160,GTP-binding protein,protein_coding,WP_004684511.1,BME_RS00160
